,hypergraph,alpha,beta,numVertices,numEdges,lineGraphChordal,lineGraphRegular,lineGraphComplete
0,"{'e0': [3, 6, 2], 'e1': [3, 6, 2, 5], 'e2': [2, 3, 5, 1, 4], 'e3': [3, 6, 5, 4, 1], 'e4': [2, 3, 1, 4]}",False,False,6,5,True,True,True
1,"{'e0': [6, 5, 4, 1], 'e1': [5, 2, 4, 3, 1, 6], 'e2': [3, 2], 'e3': [5, 3, 1, 6, 4], 'e4': [2, 5, 3]}",True,False,6,5,True,False,False
2,"{'e0': [4, 3], 'e1': [2, 4, 6, 1, 3], 'e2': [3, 1, 4], 'e3': [4, 6, 3, 2], 'e4': [5, 2, 6, 4]}",True,False,6,5,True,True,True
3,"{'e0': [5, 1], 'e1': [3, 4], 'e2': [5, 3, 1, 2, 6], 'e3': [6, 4, 1], 'e4': [4, 2, 3, 5]}",False,False,6,5,True,False,False
4,"{'e0': [1, 2, 6, 3, 5, 4], 'e1': [5, 2, 4], 'e2': [3, 1, 2, 5], 'e3': [2, 4, 1, 6, 3], 'e4': [3, 2, 1]}",True,False,6,5,True,True,True
5,"{'e0': [3, 2], 'e1': [2, 4, 1, 5, 3], 'e2': [4, 6], 'e3': [5, 1, 2], 'e4': [3, 2, 1, 5, 4, 6]}",True,False,6,5,True,False,False
6,"{'e0': [1, 5, 4, 2, 6, 3], 'e1': [5, 1], 'e2': [6, 3, 2], 'e3': [4, 1], 'e4': [3, 6, 4, 2]}",True,False,6,5,True,False,False
7,"{'e0': [3, 6], 'e1': [3, 5, 4], 'e2': [2, 6, 4, 5, 1, 3], 'e3': [3, 2, 4, 5, 1], 'e4': [4, 6, 2]}",True,False,6,5,True,True,True
8,"{'e0': [5, 2, 4, 1, 3], 'e1': [6, 5, 1, 2], 'e2': [4, 1, 2], 'e3': [1, 3, 4, 6, 2], 'e4': [5, 4]}",False,False,6,5,True,True,True
9,"{'e0': [5, 3, 2, 6, 1], 'e1': [4, 6, 2, 1], 'e2': [3, 2, 4], 'e3': [1, 4], 'e4': [4, 2, 1]}",False,False,6,5,True,True,True
10,"{'e0': [4, 2, 1, 3, 5], 'e1': [1, 6], 'e2': [3, 5, 6, 2, 1, 4], 'e3': [3, 6], 'e4': [2, 6, 5, 1, 4]}",True,False,6,5,True,True,True
11,"{'e0': [6, 4, 5, 1, 3], 'e1': [3, 5, 1, 4, 6, 2], 'e2': [2, 5, 1], 'e3': [3, 2, 4, 1, 5], 'e4': [1, 3, 6, 4, 2]}",True,False,6,5,True,True,True
12,"{'e0': [5, 1], 'e1': [4, 6, 5], 'e2': [2, 3], 'e3': [4, 3, 2, 1], 'e4': [5, 1, 3, 2, 4]}",True,False,6,5,True,False,False
13,"{'e0': [2, 4, 6], 'e1': [2, 5], 'e2': [1, 3, 2], 'e3': [6, 1], 'e4': [6, 2, 4, 1, 3]}",True,False,6,5,True,False,False
14,"{'e0': [5, 4, 3, 1], 'e1': [4, 2, 3], 'e2': [1, 5, 6], 'e3': [2, 5, 3, 1, 6, 4], 'e4': [5, 4, 2, 3, 6]}",True,False,6,5,True,False,False
15,"{'e0': [6, 3, 1, 5, 4, 2], 'e1': [6, 5], 'e2': [1, 4, 3], 'e3': [5, 1, 3, 4, 6], 'e4': [2, 1, 3, 5]}",True,False,6,5,True,False,False
16,"{'e0': [2, 6, 3, 5, 4], 'e1': [2, 1, 3], 'e2': [5, 1], 'e3': [5, 1, 3, 6], 'e4': [5, 2, 3]}",False,False,6,5,True,True,True
17,"{'e0': [5, 1, 6, 2, 4], 'e1': [2, 1, 5, 3, 6], 'e2': [6, 4, 5, 2, 1, 3], 'e3': [6, 4, 5], 'e4': [5, 2, 6]}",True,False,6,5,True,True,True
